Month,Day,GoldenNo.,Letter,KNI
"=""01""","=""01""",iii,A,kalends
"=""01""","=""02""",,b,4 nones
"=""01""","=""03""",xi,c,3 nones
"=""01""","=""04""",,d,2 nones
"=""01""","=""05""",xix,e,nones
"=""01""","=""06""",viii,f,8 ides
"=""01""","=""07""",,g,7 ides
"=""01""","=""08""",xvi,A,6 ides
"=""01""","=""09""",v,b,5 ides
"=""01""","=""10""",,c,4 ides
"=""01""","=""11""",xiii,d,3 ides
"=""01""","=""12""",ii,e,2 ides
"=""01""","=""13""",,f,ides
"=""01""","=""14""",x,g,19 kalends
"=""01""","=""15""",,A,18 kalends
"=""01""","=""16""",xviii,b,17 kalends
"=""01""","=""17""",vii,c,16 kalends
"=""01""","=""18""",,d,15 kalends
"=""01""","=""19""",xv,e,14 kalends
"=""01""","=""20""",iiii,f,13 kalends
"=""01""","=""21""",,g,12 kalends
"=""01""","=""22""",xii,A,11 kalends
"=""01""","=""23""",i,b,10 kalends
"=""01""","=""24""",,c,9 kalends
"=""01""","=""25""",ix,d,8 kalends
"=""01""","=""26""",,e,7 kalends
"=""01""","=""27""",xvii,f,6 kalends
"=""01""","=""28""",vi,g,5 kalends
"=""01""","=""29""",,A,4 kalends
"=""01""","=""30""",xiiii,b,3 kalends
"=""01""","=""31""",iii,c,2 kalends
"=""02""","=""01""",,d,kalends
"=""02""","=""02""",xi,e,4 nones
"=""02""","=""03""",xix,f,3 nones
"=""02""","=""04""",viii,g,2 nones
"=""02""","=""05""",,A,nones
"=""02""","=""06""",xvi,b,8 ides
"=""02""","=""07""",v,c,7 ides
"=""02""","=""08""",,d,6 ides
"=""02""","=""09""",xiii,e,5 ides
"=""02""","=""10""",ii,f,4 ides
"=""02""","=""11""",,g,3 ides
"=""02""","=""12""",x,A,2 ides
"=""02""","=""13""",,b,ides
"=""02""","=""14""",xviii,c,16 kalends
"=""02""","=""15""",vii,d,15 kalends
"=""02""","=""16""",,e,14 kalends
"=""02""","=""17""",xv,f,13 kalends
"=""02""","=""18""",iiii,g,12 kalends
"=""02""","=""19""",,A,11 kalends
"=""02""","=""20""",xii,b,10 kalends
"=""02""","=""21""",i,c,9 kalends
"=""02""","=""22""",,d,8 kalends
"=""02""","=""23""",ix,e,7 kalends
"=""02""","=""24""",,f,6 kalends
"=""02""","=""25""",xvii,g,5 kalends
"=""02""","=""26""",vi,A,4 kalends
"=""02""","=""27""",,b,3 kalends
"=""02""","=""28""",xiiii,c,2 kalends
"=""03""","=""01""",iii,d,kalends
"=""03""","=""02""",,e,6 nones
"=""03""","=""03""",xi,f,5 nones
"=""03""","=""04""",,g,4 nones
"=""03""","=""05""",xix,A,3 nones
"=""03""","=""06""",viii,b,2 nones
"=""03""","=""07""",,c,nones
"=""03""","=""08""",xvi,d,8 ides
"=""03""","=""09""",v,e,7 ides
"=""03""","=""10""",,f,6 ides
"=""03""","=""11""",xiii,g,5 ides
"=""03""","=""12""",ii,A,4 ides
"=""03""","=""13""",,b,3 ides
"=""03""","=""14""",x,c,2 ides
"=""03""","=""15""",,d,ides
"=""03""","=""16""",xviii,e,17 kalends
"=""03""","=""17""",vii,f,16 kalends
"=""03""","=""18""",,g,15 kalends
"=""03""","=""19""",xv,A,14 kalends
"=""03""","=""20""",iiii,b,13 kalends
"=""03""","=""21""",,c,12 kalends
